2814,1087,2760,1351,2972,223,2764,646,3017,3199,2446,78,572
2712,96,572,823,2536,317,958,3437,890,1235,2487,948,3367
1936,88,1713,1957,1571,928,1298,570,973,642,2135,3402,2060
1636,3034,2097,3205,2322,2048,1823,3115,1956,2441,1186,2681,1410
2373,2806,46,1729,2119,2903,2050,1200,3008,358,2486,2930,2912
450,1916,1984,1975,308,3119,2645,1848,586,477,142,3066,1909
390,2377,1241,2334,72,2251,2544,3311,2257,1530,2,2084,628
1511,3395,2892,1923,3317,2035,1013,2881,1154,1455,855,1363,2686
519,2164,3120,2383,633,2840,1822,251,2729,2886,586,1265,3329
207,350,3094,3415,3200,1004,1363,2,481,809,2148,1142,2557
640,790,240,367,3168,802,2393,298,2623,719,1543,1095,2254
2176,1059,2035,2654,2771,2909,2218,42,3444,2364,10,1105,2080
3201,1902,1409,937,126,1403,1372,1207,2120,1079,2652,121,2633
